,Expected Value,p,Beta0|Gamma|Beta
0,3.882391763970055,1,[2.08111746 3.0089802  0.89930726]
0,3.882391763970055,1,[2.08111746 3.0089802  0.89930726]
0,3.882391763970055,1,[2.08111746 3.0089802  0.89930726]
0,3.882391763970055,1,[2.08111746 3.0089802  0.89930726]
0,3.882391763970055,1,[2.08111746 3.0089802  0.89930726]
0,3.882391763970055,1,[2.08111746 3.0089802  0.89930726]
0,3.882391763970055,1,[2.08111746 3.0089802  0.89930726]
0,3.878154153859843,1,[2.69575672 1.83719741 1.01981817]
0,3.876111206137617,1,[2.51005431 3.62227838 2.6200996 ]
0,3.876111206137617,1,[2.51005431 3.62227838 2.6200996 ]
0,3.876111206137617,1,[2.51005431 3.62227838 2.6200996 ]
0,3.876111206137617,1,[2.51005431 3.62227838 2.6200996 ]
0,3.876111206137617,1,[2.51005431 3.62227838 2.6200996 ]
0,3.873884127315944,1,[1.1161074  3.52139767 1.03719938]
0,3.873884127315944,1,[1.1161074  3.52139767 1.03719938]
0,3.873884127315944,1,[1.1161074  3.52139767 1.03719938]
0,3.8736961735160698,1,[2.66222535 4.34168535 0.94542934]
0,3.8718179295353963,1,[2.58844879 0.85447254 1.01435837]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,3.8697670642989124,1,[0.53737585 3.01762563 2.14193725]
0,20.029346729066464,1,[3.0285754  2.30022095 1.68726447]
0,20.029346729066464,1,[3.0285754  2.30022095 1.68726447]
0,20.02247414972085,1,[3.09561806 5.84934587 3.13429657]
0,20.02247414972085,1,[3.09561806 5.84934587 3.13429657]
0,20.02247414972085,1,[3.09561806 5.84934587 3.13429657]
0,20.02247414972085,1,[3.09561806 5.84934587 3.13429657]
0,20.02247414972085,1,[3.09561806 5.84934587 3.13429657]
0,20.02247414972085,1,[3.09561806 5.84934587 3.13429657]
0,20.02247414972085,1,[3.09561806 5.84934587 3.13429657]
0,20.02247414972085,1,[3.09561806 5.84934587 3.13429657]
0,20.02247414972085,1,[3.09561806 5.84934587 3.13429657]
0,20.02247414972085,1,[3.09561806 5.84934587 3.13429657]
0,20.02247414972085,1,[3.09561806 5.84934587 3.13429657]
0,20.02247414972085,1,[3.09561806 5.84934587 3.13429657]
0,20.02247414972085,1,[3.09561806 5.84934587 3.13429657]
