,Expected Value,p,Beta0|Gamma|Beta
0,19.0,2,[0.26979181 5.41254157 2.36591632 1.96830803 1.03639079]
0,19.0,2,[0.65140976 5.93154444 0.1187032  2.22888023 0.26678385]
